Customer Last Name,Customer First Name,Customer ID,Product Category,Order Date,Quantity Ordered,Order Status,State,Address,City,Postal Code,Sale Price,Phone
Hughes,Lewis,1234,Clothing,2022-12-24,12,Delivered,LA,49458 Glenwood Avenue,Shreveport,71101,564,504-870-1437
Gomez,Ali,1235,Home & Kitchen,2022-12-06,2,In Transit,LA,11591 River Road,Covington,70433,777,337-400-1567
Beck,Mila,1236,Personal Care,2022-12-01,7,Delivered,GA,48087 Jackson Street,Atlanta,30303,1829,404-573-7088
Juarez,Ryleigh,1237,Personal Care,2022-12-25,9,Delivered,NC,46798 Hillcrest Avenue,Columbia,29201,227,252-325-9603
Preston,Leonidas,1238,Electronics,2022-12-29,9,Shipped,GA,65693 Mulberry Street,Avondale Estates,30002,1355,404-383-9724
Jacobs,Hayden,1239,Home & Kitchen,2022-12-01,2,Shipped,SC,97967 Willow Avenue,Charleston,29401,1118,803-792-7765
Knox,Brooke,1240,Electronics,2022-12-18,10,Shipped,SC,83292 Oakwood Avenue,Greenville,29601,1115,803-751-7655
Rice,Diana,1241,Home & Kitchen,2022-12-28,2,Delivered,SC,76154 Valley View Drive,Bluffton,29910,1193,843-300-9863
Valencia,Rosalie,1242,Personal Care,2022-12-03,5,Shipped,AL,58506 Chestnut Street,Adamsville,35005,1413,251-513-6807
Pierce,Andre,1243,Home & Kitchen,2022-12-13,15,Shipped,SC,16622 Ridge Road,Bluffton,29910,1066,854-366-4240
Olson,Walter,1244,Clothing,2022-12-21,8,Delivered,NC,27679 Vineyard Drive,Charlotte,28202,953,704-224-1745
Malone,Nayeli,1245,Personal Care,2022-12-17,17,Cancelled,NC,18611 Country Club Road,Asheville,28801,1627,252-167-1010
Holt,Thea,1246,Personal Care,2022-12-05,15,Shipped,GA,66565 Sunset Drive,Atlanta,30303,573,762-165-5617
Briggs,Devin,1247,Pets,2022-12-13,4,Delivered,AL,34238 Central Avenue,Mobile,36602,268,938-502-6412
Woodard,Destiny,1248,Clothing,2022-12-09,13,Shipped,LA,24352 Country Club Road,Shreveport,71101,369,337-892-3659
Fuentes,Rylee,1249,Electronics,2022-12-26,1,Delivered,LA,29307 Lakeview Drive,Shreveport,71101,258,504-115-3308
Shaffer,Luka,1250,Clothing,2022-12-07,18,Delivered,AL,65141 High Street,Montgomery,36104,564,334-293-6399
Berry,Colt,1251,Electronics,2022-12-05,7,In Transit,AL,65962 Railroad Avenue,Mobile,36602,1630,334-902-6908
Klein,Madelynn,1252,Sports & Outdoors,2022-12-18,4,Shipped,LA,2645 Pinecrest Drive,New Orleans,70112,318,337-463-3000
Landry,Edward,1253,Home & Kitchen,2022-12-15,17,Delivered,NC,6247 Willow Street,Asheville,28801,129,252-895-5007
Weaver,Cash,1254,Books,2022-12-31,3,Shipped,AL,5088 Spruce Street,Birmingham,35203,973,256-407-8636
Solomon,Ronin,1255,Home & Kitchen,2022-12-20,7,Shipped,NC,17929 Elmwood Drive,Columbia,29201,1549,704-627-6050
Benjamin,Frank,1256,Sports & Outdoors,2022-12-06,15,Shipped,LA,36792 Smith Street,Baton Rouge,70802,617,225-717-2529
Herrera,Olive,1257,Clothing,2022-12-04,5,Cancelled,LA,82263 Chestnut Avenue,Shreveport,71101,666,337-845-7891
Bryan,Noa,1258,Clothing,2022-12-08,13,In Transit,NC,90817 College Avenue,Columbia,29201,727,704-352-8652
Cook,Collin,1259,Electronics,2022-12-07,20,Cancelled,SC,26670 School Street,Greenville,29601,1189,803-706-7526
Thompson,Kane,1260,Sports & Outdoors,2022-12-29,13,Delivered,LA,33379 Country Club Road,New Orleans,70112,1540,504-935-9179
Kane,James,1261,Pets,2022-12-21,9,Shipped,FL,77662 West Street,Birmingham,35203,1293,305-528-6038
Arias,Sawyer,1262,Pets,2022-12-30,16,Shipped,FL,92850 Broad Street,Birmingham,35203,363,386-385-4334
Vincent,Isabelle,1263,Sports & Outdoors,2022-12-30,3,Delivered,SC,46177 Railroad Avenue,Greenville,29601,403,854-871-5836
Quintana,Raya,1264,Home & Kitchen,2022-12-15,8,Shipped,AL,93700 Elm Street,Montgomery,36104,935,256-640-7511
Anderson,Kaiden,1265,Personal Care,2022-12-19,7,Shipped,FL,91946 Elm Street,Birmingham,35203,467,407-491-4268
Chan,Shiloh,1266,Personal Care,2022-12-28,13,In Transit,NC,86256 Highland Avenue,Chapel Hill,27514,78,252-445-8938
Foster,Layla,1267,Pets,2022-12-25,20,Cancelled,GA,14083 Second Street,Savannah,31401,251,470-368-9598
Giles,Sarai,1268,Electronics,2022-12-22,5,Delivered,SC,58379 Spring Street,Bluffton,29910,250,803-825-5390
Morris,Kason,1269,Books,2022-12-23,11,Delivered,SC,59738 Elmwood Drive,Bluffton,29910,1521,864-394-6124
Avery,Aspen,1270,Pets,2022-12-08,4,Shipped,NC,98076 Pinecrest Drive,Columbia,29201,27,704-961-9548
Fitzgerald,Cade,1271,Electronics,2022-12-10,19,Cancelled,NC,92945 Washington Street,Chapel Hill,27514,1439,704-692-1773
Sharp,Collins,1272,Clothing,2022-12-05,6,Shipped,GA,30702 Main Street,Atlanta,30303,638,770-983-6849
Richmond,Jayce,1273,Home & Kitchen,2022-12-17,5,Shipped,SC,83078 Laurel Street,Bluffton,29910,999,854-193-2426
Hinton,Josiah,1274,Pets,2022-12-08,10,Shipped,GA,94582 Highland Avenue,Columbus,31901,153,478-878-3125
Morales,Helen,1275,Personal Care,2022-12-25,15,Shipped,FL,40276 Holly Street,Palmetto,34221,995,386-871-7450
Mccormick,Alani,1276,Sports & Outdoors,2022-12-21,16,Delivered,LA,29196 Fourth Street,Baton Rouge,70802,153,504-827-8657
Winters,Francis,1277,Sports & Outdoors,2022-12-25,9,In Transit,SC,72306 Division Street,Greenville,29601,781,854-494-3191
Ochoa,Wyatt,1278,Sports & Outdoors,2022-12-25,17,Delivered,NC,36731 Pennsylvania Avenue,Asheville,28801,139,336-862-9245
Rollins,Leah,1279,Clothing,2022-12-23,8,Delivered,SC,54591 Pine Street,Charleston,29401,1596,843-274-3275
Buck,Kane,1280,Pets,2022-12-24,15,Delivered,FL,97703 Holly Street,St. Petersburg,33701,316,754-799-5833
Blevins,Madilyn,1281,Electronics,2022-12-23,14,Delivered,AL,20935 Central Avenue,Adamsville,35005,1476,938-613-8539
Parsons,Jared,1282,Books,2022-12-18,16,Delivered,FL,61256 Sixth Street,Birmingham,35203,1743,305-894-1491
Flores,Jackson,1283,Electronics,2022-12-26,1,Delivered,FL,68780 Madison Avenue,St. Petersburg,33701,1691,407-688-1885
Collier,Abigail,1284,Home & Kitchen,2022-12-07,5,Delivered,SC,21123 Sunset Boulevard,Camden,29020,17,843-149-3897
Harvey,Greyson,1285,Clothing,2022-12-30,10,Shipped,FL,69637 Park Place,Palmetto,34221,1836,407-427-9592
Hunter,Luca,1286,Books,2022-12-08,11,Shipped,SC,46773 Fairview Avenue,Greenville,29601,418,864-873-9566
Morris,Mariana,1287,Home & Kitchen,2022-12-15,1,Shipped,AL,78572 Spring Street,Montgomery,36104,827,938-333-1465
Mcdaniel,Eliza,1288,Clothing,2022-12-06,2,Shipped,AL,77361 Pleasant Street,Mobile,36602,323,938-968-8578
Atkins,Molly,1289,Sports & Outdoors,2022-12-26,3,Shipped,SC,18348 Elmwood Lane,Bluffton,29910,250,864-360-3309
