Order ID,Customer Last Name,Customer First Name,Customer ID,Product Category,Order Date,Quantity Ordered,Order Status,State,Manufacturer Price,Sale Price,Total Profit (GMROI),Sales Agent,Return Reason
1001,Hughes,Lewis,1234,Clothing,2022-10-11,16,Delivered,LA,1485,1880,395,Kelly,
1002,Gomez,Ali,1235,Home & Kitchen,2022-10-09,11,Delivered,LA,1310,1602,292,Brian,
1003,Beck,Mila,1236,Personal Care,2022-10-21,4,Shipped,GA,800,891,91,Terrence,
1004,Juarez,Ryleigh,1237,Personal Care,2022-10-26,20,Cancelled,NC,1190,1462,272,Brian,Defective
1005,Preston,Leonidas,1238,Electronics,2022-10-22,9,Shipped,GA,470,525,55,Daniel,
1006,Jacobs,Hayden,1239,Home & Kitchen,2022-10-01,11,Shipped,SC,115,134,19,Kelly,
1007,Knox,Brooke,1240,Electronics,2022-10-27,1,Shipped,SC,755,833,78,Brian,
1008,Rice,Diana,1241,Home & Kitchen,2022-10-05,12,Shipped,SC,935,1091,156,Brian,
1009,Valencia,Rosalie,1242,Personal Care,2022-10-21,8,Delivered,AL,545,652,107,Terrence,
1010,Pierce,Andre,1243,Home & Kitchen,2022-10-11,19,Delivered,SC,435,522,87,Terrence,
1011,Olson,Walter,1244,Clothing,2022-10-14,16,Delivered,NC,205,256,51,Terrence,
1012,Malone,Nayeli,1245,Personal Care,2022-10-16,3,Delivered,NC,925,1092,167,Kelly,
1013,Holt,Thea,1246,Personal Care,2022-10-20,12,Shipped,GA,450,564,114,Kelly,
1014,Briggs,Devin,1247,Pets,2022-10-12,7,Delivered,AL,1220,1469,249,Priscilla,
1015,Woodard,Destiny,1248,Clothing,2022-10-15,6,Shipped,LA,955,1213,258,Priscilla,
1016,Fuentes,Rylee,1249,Electronics,2022-10-06,4,Shipped,LA,1325,1536,211,Kelly,
1017,Shaffer,Luka,1250,Clothing,2022-10-24,7,In Transit,AL,540,697,157,Kelly,
1018,Berry,Colt,1251,Electronics,2022-10-17,7,Shipped,AL,185,235,50,Daniel,
1019,Klein,Madelynn,1252,Sports & Outdoors,2022-10-30,6,Shipped,LA,440,552,112,Brian,
1020,Landry,Edward,1253,Home & Kitchen,2022-10-20,12,Delivered,NC,1105,1431,326,Priscilla,
1021,Weaver,Cash,1254,Books,2022-10-17,14,Cancelled,AL,320,412,92,Daniel,Defective
1022,Solomon,Ronin,1255,Home & Kitchen,2022-10-05,3,Shipped,NC,800,1017,217,Kelly,
1023,Benjamin,Frank,1256,Sports & Outdoors,2022-10-11,18,In Transit,LA,155,179,24,Terrence,
1024,Herrera,Olive,1257,Clothing,2022-10-22,9,In Transit,LA,1065,1172,107,Daniel,
1025,Bryan,Noa,1258,Clothing,2022-10-27,2,In Transit,NC,455,503,48,Kelly,
1026,Cook,Collin,1259,Electronics,2022-10-12,1,Delivered,SC,390,434,44,Priscilla,
1027,Thompson,Kane,1260,Sports & Outdoors,2022-10-02,14,Shipped,LA,665,734,69,Kelly,
1028,Kane,James,1261,Pets,2022-10-11,3,Shipped,FL,880,1072,192,Terrence,
1029,Arias,Sawyer,1262,Pets,2022-10-03,6,Cancelled,FL,80,89,9,Kelly,Late Delivery
1030,Vincent,Isabelle,1263,Sports & Outdoors,2022-10-13,12,Delivered,SC,1025,1297,272,Kelly,
1031,Quintana,Raya,1264,Home & Kitchen,2022-10-01,10,Shipped,AL,395,458,63,Daniel,
1032,Anderson,Kaiden,1265,Personal Care,2022-10-27,17,Delivered,FL,845,1023,178,Kelly,
1033,Chan,Shiloh,1266,Personal Care,2022-10-17,10,Shipped,NC,1260,1540,280,Daniel,
1034,Foster,Layla,1267,Pets,2022-10-30,11,Cancelled,GA,1360,1605,245,Brian,Late Delivery
1035,Giles,Sarai,1268,Electronics,2022-10-11,16,Cancelled,SC,235,276,41,Daniel,Defective
1036,Morris,Kason,1269,Books,2022-10-29,9,Delivered,SC,1190,1316,126,Daniel,
1037,Avery,Aspen,1270,Pets,2022-10-18,9,Cancelled,NC,190,231,41,Priscilla,Defective
1038,Fitzgerald,Cade,1271,Electronics,2022-10-10,14,Shipped,NC,35,43,8,Priscilla,
1039,Sharp,Collins,1272,Clothing,2022-10-03,20,Delivered,GA,1125,1351,226,Terrence,
1040,Richmond,Jayce,1273,Home & Kitchen,2022-10-08,8,Cancelled,SC,875,1036,161,Priscilla,Quality Issue
1041,Hinton,Josiah,1274,Pets,2022-10-20,14,Cancelled,GA,205,258,53,Daniel,Late Delivery
1042,Morales,Helen,1275,Personal Care,2022-10-08,15,Shipped,FL,1475,1634,159,Priscilla,
1043,Mccormick,Alani,1276,Sports & Outdoors,2022-10-25,8,Delivered,LA,720,816,96,Priscilla,
1044,Winters,Francis,1277,Sports & Outdoors,2022-10-06,20,Shipped,SC,1400,1555,155,Kelly,
1045,Ochoa,Wyatt,1278,Sports & Outdoors,2022-10-23,7,Delivered,NC,795,939,144,Kelly,
1046,Rollins,Leah,1279,Clothing,2022-10-15,8,Delivered,SC,755,845,90,Terrence,
1047,Buck,Kane,1280,Pets,2022-10-19,2,Cancelled,FL,50,63,13,Terrence,Received Wrong Item
1048,Blevins,Madilyn,1281,Electronics,2022-10-21,8,Delivered,AL,1450,1607,157,Terrence,
1049,Parsons,Jared,1282,Books,2022-10-26,6,Delivered,FL,1390,1553,163,Priscilla,
1050,Flores,Jackson,1283,Electronics,2022-10-11,8,Delivered,FL,1375,1595,220,Terrence,
1051,Collier,Abigail,1284,Home & Kitchen,2022-10-02,5,Delivered,SC,95,112,17,Priscilla,
1052,Harvey,Greyson,1285,Clothing,2022-10-01,18,Shipped,FL,450,509,59,Terrence,
1053,Hunter,Luca,1286,Books,2022-10-20,4,Delivered,SC,610,760,150,Brian,
1054,Morris,Mariana,1287,Home & Kitchen,2022-10-22,12,Delivered,AL,765,951,186,Brian,
1055,Mcdaniel,Eliza,1288,Clothing,2022-10-01,2,Shipped,AL,585,696,111,Daniel,
1056,Atkins,Molly,1289,Sports & Outdoors,2022-10-16,9,In Transit,SC,285,368,83,Daniel,
1057,Maldonado,Arielle,1290,Personal Care,2022-10-11,20,Cancelled,GA,830,937,107,Terrence,Defective
1058,Trevino,Demi,1291,Sports & Outdoors,2022-10-20,2,In Transit,AL,890,1149,259,Daniel,
1059,Collier,Mckenna,1292,Electronics,2022-10-22,16,Delivered,GA,1415,1558,143,Brian,
1060,Baldwin,Adalynn,1293,Pets,2022-10-28,4,Shipped,FL,1420,1608,188,Priscilla,
1061,Silva,Preston,1294,Pets,2022-10-17,16,Delivered,LA,485,606,121,Brian,
1062,Watts,Bailey,1295,Books,2022-10-04,19,Cancelled,AL,365,421,56,Daniel,Received Wrong Item
1063,Russell,Bentley,1296,Electronics,2022-10-12,1,Cancelled,AL,330,388,58,Priscilla,Quality Issue
1064,Harrington,Lillian,1297,Electronics,2022-10-08,11,Cancelled,GA,1205,1539,334,Daniel,Late Delivery
1065,Fleming,Kayden,1298,Sports & Outdoors,2022-10-09,14,Shipped,GA,970,1204,234,Daniel,
1066,Hayden,Manuel,1299,Pets,2022-10-04,2,In Transit,NC,490,582,92,Terrence,
1067,Nicholson,Hattie,1300,Personal Care,2022-10-18,11,Shipped,GA,1410,1613,203,Priscilla,
1068,Guerra,Legacy,1301,Books,2022-10-22,2,Shipped,SC,1220,1473,253,Daniel,
1069,Correa,Brantley,1302,Electronics,2022-10-13,6,Cancelled,LA,230,274,44,Terrence,Unsatisfied
1070,Carey,Rosie,1303,Pets,2022-10-02,9,Shipped,NC,680,831,151,Terrence,
1071,Morales,Heaven,1304,Books,2022-10-08,14,Shipped,AL,525,579,54,Kelly,
1072,Carroll,Chance,1305,Personal Care,2022-10-12,4,Delivered,SC,1070,1331,261,Brian,
1073,Bautista,Parker,1306,Sports & Outdoors,2022-10-03,6,Shipped,SC,1005,1303,298,Terrence,
1074,Fox,Kamari,1307,Clothing,2022-10-27,1,Shipped,AL,630,761,131,Priscilla,
1075,Wong,Emerson,1308,Electronics,2022-10-15,7,Delivered,FL,345,432,87,Daniel,
1076,Rubio,Tatum,1309,Clothing,2022-10-04,17,Delivered,FL,1115,1404,289,Daniel,
1077,Sanchez,Sarai,1310,Home & Kitchen,2022-10-09,11,Shipped,GA,45,56,11,Kelly,
1078,Dean,Gunner,1311,Sports & Outdoors,2022-10-12,9,Delivered,AL,970,1104,134,Kelly,
