CustomerKey,CityKey,Customer Last Name,Customer First Name,Phone
1234,1,Hughes,Lewis,504-870-1437
1235,2,Gomez,Ali,337-400-1567
1236,3,Beck,Mila,404-573-7088
1237,4,Juarez,Ryleigh,252-325-9603
1238,5,Preston,Leonidas,404-383-9724
1239,6,Jacobs,Hayden,803-792-7765
1240,7,Knox,Brooke,803-751-7655
1241,8,Rice,Diana,843-300-9863
1242,9,Valencia,Rosalie,251-513-6807
1243,8,Pierce,Andre,854-366-4240
1244,10,Olson,Walter,704-224-1745
1245,11,Malone,Nayeli,252-167-1010
1246,3,Holt,Thea,762-165-5617
1247,12,Briggs,Devin,938-502-6412
1248,1,Woodard,Destiny,337-892-3659
1249,1,Fuentes,Rylee,504-115-3308
1250,13,Shaffer,Luka,334-293-6399
1251,12,Berry,Colt,334-902-6908
1252,14,Klein,Madelynn,337-463-3000
1253,11,Landry,Edward,252-895-5007
1254,15,Weaver,Cash,256-407-8636
1254,17,Weaver,Cash,256-407-8636
1255,4,Solomon,Ronin,704-627-6050
1256,16,Benjamin,Frank,225-717-2529
1257,1,Herrera,Olive,337-845-7891
1258,4,Bryan,Noa,704-352-8652
1259,7,Cook,Collin,803-706-7526
1260,14,Thompson,Kane,504-935-9179
1261,15,Kane,James,305-528-6038
1261,17,Kane,James,305-528-6038
1262,15,Arias,Sawyer,386-385-4334
1262,17,Arias,Sawyer,386-385-4334
1263,7,Vincent,Isabelle,854-871-5836
1264,13,Quintana,Raya,256-640-7511
1265,15,Anderson,Kaiden,407-491-4268
1265,17,Anderson,Kaiden,407-491-4268
1266,18,Chan,Shiloh,252-445-8938
1267,19,Foster,Layla,470-368-9598
1268,8,Giles,Sarai,803-825-5390
1269,8,Morris,Kason,864-394-6124
1270,4,Avery,Aspen,704-961-9548
1271,18,Fitzgerald,Cade,704-692-1773
1272,3,Sharp,Collins,770-983-6849
1273,8,Richmond,Jayce,854-193-2426
1274,20,Hinton,Josiah,478-878-3125
1275,21,Morales,Helen,386-871-7450
1276,16,Mccormick,Alani,504-827-8657
1277,7,Winters,Francis,854-494-3191
1278,11,Ochoa,Wyatt,336-862-9245
1279,6,Rollins,Leah,843-274-3275
1280,22,Buck,Kane,754-799-5833
1281,9,Blevins,Madilyn,938-613-8539
